step,reference,input,output
435,-1,1.6691972268610034,1.0386123972097092
436,-1,0.8346798798990366,0.6564813774015835
437,-1,-0.08088445090924767,0.2388179533425338
438,-1,-0.6625405591768389,-0.5559454779454558
439,-1,-0.9089652902792924,-0.5561181763629365
440,-1,-1.0837524723279492,-0.4761466827062156
441,-1,-1.3504891407686512,-0.32822007839237816
442,-1,-1.6211031790818962,-0.8547182113524313
443,-1,-1.807631286788517,-0.4751781238355625
444,-1,-1.9317759751585637,-1.0785330552356873
445,1,-1.620588168178133,-1.3596007412179323
446,1,-0.7197789943341404,-0.4386894183593747
447,1,0.20080655424150484,-0.2699042814575799
448,1,0.7623658682005195,0.5051777458902506
449,1,1.0296205757024597,0.4776694149112981
450,1,1.2439300091851395,0.44370548609705157
451,1,1.4853966464749435,0.6495908910234929
452,1,1.7455891664386955,0.2832768189559797
453,1,1.9430941929750374,1.2057480209922082
454,1,1.9128476051681353,1.3034529475175627
455,-1,1.5117054063477995,0.8222724012347062
456,-1,0.696753817982299,0.6934121948462445
457,-1,-0.21338241353170717,0.39898794238880514
458,-1,-0.9111334691456687,-0.06891573204624851
459,-1,-1.2923950154912258,-0.7833656378759439
460,1,-1.2473630036372896,-0.008615920785725484
461,1,-0.7588616571207477,-0.22112594791556195
462,1,-0.10465734992558462,-0.03357091145001473
463,1,0.5261935552990571,-0.4044631450506663
464,1,1.037856267773751,0.6964931080270852
465,-1,1.0131137541095272,0.6423756487033495
466,-1,0.37083157836018504,0.08161599799079788
467,-1,-0.265909926797558,-0.568359210645462
468,-1,-0.629245995570088,-0.057975797619783
469,-1,-0.9550135038061066,-0.35160918781535555
470,-1,-1.312353641430721,-0.3368520206811937
471,-1,-1.5981082266585638,-0.759122583787667
472,-1,-1.687577196006234,-1.2163481600573265
473,-1,-1.6914231548874077,-0.5092450740913477
474,-1,-1.783609112984427,-0.9608616487771962
475,-1,-1.7812880620204388,-1.5825052142234188
476,-1,-1.5923297058722454,-1.1953551395910513
477,-1,-1.5264865642448568,-0.40112797698964336
478,-1,-1.7007086968820593,-0.8678697653604667
479,-1,-1.8967170078500253,-0.652615991228082
480,1,-1.7080031155414124,-1.0920837396262346
481,1,-0.8904847735878985,-0.6969127623991062
482,1,0.009275622419959398,0.17327329541901476
483,1,0.5602572135101174,0.06270188305013358
484,1,0.9381139749895362,0.18179751597395255
485,-1,1.0395785379773959,0.2552455217700719
486,-1,0.566519438310635,0.3424651576479983
487,-1,-0.10800453938178922,-0.4045958960150182
488,-1,-0.5523647194764434,-0.27536251406728396
489,-1,-0.8854698154676597,-0.0982307681001349
490,-1,-1.2638850030064783,-0.36996795085671885
491,-1,-1.5727251136650198,-0.7432777979951224
492,-1,-1.8220123698936264,-0.11234665364999985
493,-1,-2.0621341266684645,-1.032884679422298
494,-1,-2.109696851786555,-1.275386754429705
495,1,-1.6923060706307222,-1.174528987531796
496,1,-0.7746793628816686,-0.6707500082790633
497,1,0.1714403957416821,-0.3057792731071844
498,1,0.7693082095720237,0.49896291091011513
499,1,1.003207181684889,0.7791923280219946
500,1,1.103192441380728,0.6079741767040631
501,1,1.3185369713464474,0.19737324089624964
502,1,1.6017320308426304,0.9290755911296245
503,1,1.8215947495792169,0.29535817992309477
504,1,2.005656360772816,0.9558032469494301
505,1,2.103686174456879,0.8696534936814644
506,1,2.112509240294365,1.1144049865337102
507,1,2.103113367135036,0.8295715891114664
508,1,2.14996651288541,0.8757462399219559
509,1,2.2083773381035057,1.0182035900332225
510,1,2.2006085236342257,1.138083133887332
511,1,2.111413444475639,1.271666330962445
512,1,1.9804013009791641,1.2136915616551467
513,1,1.9427385913400395,0.6154817533469155
514,1,1.9921843080427801,1.308668491938489
515,-1,1.6734254426568789,1.0937587814828873
516,-1,0.8382921546957092,0.3619214741832
517,-1,0.018842026857974856,-0.010122255767966243
518,-1,-0.45221196979890477,-0.5207456735793149
519,-1,-0.7148533318092598,-0.28849496062072805
520,-1,-1.0142594245786616,-0.2852290867500665
521,-1,-1.304837090909319,-0.8586940674420293
522,-1,-1.507225557575456,-0.3839403016367784
523,-1,-1.720121779528272,-0.6096860501332086
524,-1,-1.8369492472656788,-1.3650670032623358
525,-1,-1.8505208859285243,-0.43227557035208636
526,-1,-2.00168882489832,-0.5444225682994499
527,-1,-2.2522450469799344,-0.6729026713158177
528,-1,-2.3165438399295453,-1.6451883015992252
529,-1,-2.0453107596555764,-1.7322025151249334
530,1,-1.4795119184110679,-0.7113636629533342
531,1,-0.727411735927361,-0.23046573926564573
532,1,-0.004424344304155239,-0.30908759465379465
533,1,0.6329674580819848,-0.19233540817815498
534,1,1.1156437397456085,0.6465334268066932
535,-1,1.106174668025657,0.4303680880987295
536,-1,0.509727410377415,0.2315432907571088
537,-1,-0.18816988724536954,-0.19980347087180794
538,-1,-0.7204755342489406,0.20626151294911557
539,-1,-1.2019085028565586,-0.16861036241201077
540,1,-1.306273334031961,-0.6308703503324911
541,1,-0.6925509199992352,-0.5234806312391063
542,1,0.12151449498784443,0.23755655055800307
543,1,0.5659328439684571,0.7154613357770299
544,1,0.821704480334491,-0.2207859883487836
545,-1,0.9448240716814255,0.30707906291808235
546,-1,0.6189929499425717,-0.29861687206670817
547,-1,0.04942164239733211,0.1659616153728103
548,-1,-0.5484518677628459,0.18763022759187203
549,-1,-1.0716002960592586,-0.36851159370084635
550,-1,-1.4016658277191243,-0.6438187249226393
551,-1,-1.5910599510702266,-0.5490505934516177
552,-1,-1.7692968006541303,-0.6492769213390073
553,-1,-1.9155509016178316,-0.9464308836711907
554,-1,-1.9534584241271657,-1.0665694047949112
555,-1,-1.8797177725492062,-1.2947325509586436
556,-1,-1.7925903561191698,-0.8778310306589477
557,-1,-1.8595545472122574,-0.5106874446477423
558,-1,-2.05896869831411,-0.7810914286139186
559,-1,-2.233615884106755,-0.7257630145524585
560,-1,-2.2328596354083503,-1.6363025233382553
561,-1,-1.9945962252031848,-1.4922328143089176
